# name, mass, radius, period, axis, eccentricity, inclination, angular_distance, publication_status_letter, discovered, updated, omega, tperi, detection_type, molecules, star.name, ra, dec, star.magnitude_v, star.magnitude_i, star.magnitude_j, star.magnitude_h, star.magnitude_k, star.distance, star.metallicity, star.mass, star.radius, star.spec_type, star.age, star.teff
KOI-13 b,12.1,1.83,1.7637,,,,,R,2011,2012-04-08,,,detected by transit,,KOI-13,19:07:53.0,+46:52:06,10.0,,,,,,-0.14,,2.44,,,8848.0
KOI-135 b,3.23,1.2,3.024095,0.0449,0.025,84.35,2.3e-05,R,2011,2011-10-26,,,detected by transit,,KOI-135,19:00:58.0,+46:40:06,14.0,,,,,1950.0,0.33,1.32,1.2,G0V/G0IV,2.8,6041.0
KOI-196 b,0.49,0.841,1.855558,0.029,0.0,88.3,4e-05,R,2011,2011-08-03,,,detected by transit,,KOI-196,19:38:03.0,+45:58:54,14.5,,,,,730.0,-0.09,0.94,0.966,G2V,7.4,5660.0
KOI-200 b,0.44,0.79,7.34,0.075,,,,S,2012,2012-06-05,,,detected by transit,,KOI-200,19:32:22.0,+41:21:20,15.0,,,,,,0.15,,0.76,,,5774.0
KOI-202 b,0.88,1.02,1.72,0.029,,,,S,2012,2012-06-05,,,detected by transit,,KOI-202,19:04:26.0,+43:40:52,14.5,,,,,,0.12,,1.04,,,5912.0
KOI-204 b,1.02,1.24,3.24674,0.0455,0.021,83.78,2e-05,R,2011,2011-10-26,,,detected by transit,,KOI-204,20:00:25.0,+45:45:44,15.0,,,,,2250.0,0.26,1.19,1.52,G2IV,6.95,5757.0
KOI-206 b,2.9,0.7,5.33,0.059,,,,S,2012,2012-06-05,,,detected by transit,,KOI-206,19:50:22.0,+40:58:38,14.5,,,,,,-0.13,,1.16,,,5771.0
KOI-254 b,0.505,0.96,2.455239,0.027,0.11,87.0,8.1e-05,S,2011,2012-04-05,230.0,,detected by transit,,KOI-254,19:31:30.0,+41:03:51,16.88,,,,,333.0,0.13,0.59,0.55,M,,3820.0
KOI-423 b,18.0,1.22,21.0874,0.155,0.121,88.83,0.000129,C,2011,2011-06-17,98.9,,detected by transit,,KOI-423,19:47:50.0,+46:02:04,14.3,,,,,1200.0,-0.29,1.1,1.39,F7IV,5.08,6260.0
KOI-428 b,2.2,1.17,6.87349,0.08,0.0,89.7,3e-05,R,2010,2011-01-01,,,detected by transit,,KOI-428,19:47:15.0,+47:31:36,14.76,,,,,2700.0,0.1,1.48,2.13,F5IV,2.8,6510.0
KOI-680 b,0.62,0.65,8.6,0.08,,,,S,2012,2012-06-05,,,detected by transit,,KOI-680,19:29:09.0,+43:11:50,14.0,,,,,,-0.46,,1.16,,,6060.0
KOI-730 b,,0.31,14.7903,0.12,,,,R,2011,2011-09-07,,,detected by transit,,KOI-730,19:53:16.0,+47:16:46,15.0,,,,,,,1.07,1.1,,,5590.0
KOI-730 c,,0.23,9.8499,0.092,,,,R,2011,2011-09-07,,,detected by transit,,KOI-730,19:53:16.0,+47:16:46,15.0,,,,,,,1.07,1.1,,,5590.0
KOI-730 d,,0.25,19.7216,0.145,,,,R,2011,2011-09-08,,,detected by transit,,KOI-730,19:53:16.0,+47:16:46,15.0,,,,,,,1.07,1.1,,,5590.0
KOI-730 e,,0.18,7.3831,0.076,,,,R,2011,2011-09-07,,,detected by transit,,KOI-730,19:53:16.0,+47:16:46,15.0,,,,,,,1.07,1.1,,,5590.0
KOI-872 b,6.0,0.812,33.60134,0.1967,0.01,89.033,0.00023,R,2012,2012-05-12,,,detected by transit,,KOI-872,19:17:05.0,+42:36:15,15.3,,,,,857.0,0.41,0.902,0.94,,9.9,5155.0
Kepler-10 b,0.0143,0.127,0.837495,0.01684,0.0,84.4,9.7e-05,R,2011,2011-01-11,,,detected by transit,,Kepler-10,19:02:43.0,+50:14:29,10.96,,,,,173.0,-0.15,0.895,1.056,G,11.9,5627.0
Kepler-10 c,0.063,0.199,45.29485,0.2407,0.0,89.65,0.001391,R,2011,2011-05-26,,,detected by transit,,Kepler-10,19:02:43.0,+50:14:29,10.96,,,,,173.0,-0.15,0.895,1.056,G,11.9,5627.0
Kepler-11 b,0.01353,0.1762,10.30375,0.091,0.0,88.5,,R,2011,2011-02-02,,,detected by transit,,Kepler-11,19:48:28.0,+41:54:33,13.7,,,,,,0.0,0.95,1.1,G,8.0,5680.0
Kepler-11 c,0.0425,0.28175,13.02502,0.106,0.0,89.0,,R,2011,2011-02-02,,,detected by transit,,Kepler-11,19:48:28.0,+41:54:33,13.7,,,,,,0.0,0.95,1.1,G,8.0,5680.0
Kepler-11 d,0.01919,0.3068,22.68719,0.159,0.0,89.3,,R,2011,2011-02-02,,,detected by transit,,Kepler-11,19:48:28.0,+41:54:33,13.7,,,,,,0.0,0.95,1.1,G,8.0,5680.0
Kepler-11 e,0.02643,0.4043,31.9959,0.194,0.0,88.8,,R,2011,2011-02-02,,,detected by transit,,Kepler-11,19:48:28.0,+41:54:33,13.7,,,,,,0.0,0.95,1.1,G,8.0,5680.0
Kepler-11 f,0.007237,0.2335,46.68876,0.25,0.0,89.4,,R,2011,2011-02-02,,,detected by transit,,Kepler-11,19:48:28.0,+41:54:33,13.7,,,,,,0.0,0.95,1.1,G,8.0,5680.0
Kepler-11 g,0.95,0.3274,118.37774,0.462,0.0,89.8,,R,2011,2011-02-02,,,detected by transit,,Kepler-11,19:48:28.0,+41:54:33,13.7,,,,,,0.0,0.95,1.1,G,8.0,5680.0
Kepler-12 b,0.431,1.695,4.4379637,0.0556,0.01,88.76,,R,2011,2011-09-09,182.0,,detected by transit,,Kepler-12,00:00:00.0,+00:00:00,13.4,,,,,,0.07,1.166,1.483,G0,4.0,5947.0
Kepler-14 b,8.4,1.136,6.790123,,0.035,90.0,,S,2011,2011-06-29,,,detected by transit,,Kepler-14,19:10:50.0,+47:19:59,12.12,,,,,980.0,0.12,1.512,2.048,F,2.2,6395.0
Kepler-15 b,0.66,0.96,4.942782,0.05714,,87.44,,R,2011,2011-08-02,,,detected by transit,,Kepler-15,00:00:00.0,+00:00:00,13.8,,,,,,0.36,1.018,0.992,,,5595.0
Kepler-16 (AB) b,0.333,0.7538,228.776,0.7048,0.00685,90.0322,,R,2011,2012-04-24,318.0,,detected by transit,,Kepler-16 (AB),19:16:18.0,+51:45:27,12.0,,,,,,-0.3,0.8499,0.65,K,,4450.0
Kepler-17 b,2.45,1.312,1.4857108,0.02591,0.011,87.2,3.2e-05,R,2011,2011-10-26,,,detected by transit,,Kepler-17,19:53:35.0,+47:48:54,14.0,,,,,800.0,0.26,1.16,1.05,G2V,1.78,5781.0
Kepler-18 b,0.0217,0.179,3.504725,0.0447,,84.92,,R,2011,2011-10-05,,,detected by transit,,Kepler-18,19:52:19.0,+44:44:47,14.0,,,,,,0.2,0.972,1.108,,10.0,5383.0
Kepler-18 c,0.054,0.49,7.64159,0.0752,,87.68,,R,2011,2011-10-05,,,detected by transit,,Kepler-18,19:52:19.0,+44:44:47,14.0,,,,,,0.2,0.972,1.108,,10.0,5383.0
Kepler-18 d,0.052,0.62,14.85888,0.1172,,88.07,,R,2011,2011-10-05,,,detected by transit,,Kepler-18,19:52:19.0,+44:44:47,14.0,,,,,,0.2,0.972,1.108,,10.0,5383.0
Kepler-19 b,0.064,0.198,9.2869944,0.085,,89.94,,R,2011,2011-09-09,,,detected by transit,,Kepler-19,19:21:41.0,+37:51:06,12.0,,,,,,-0.13,0.936,0.85,,1.9,5541.0
Kepler-20 b,0.027,0.17,3.6961219,0.04537,0.32,86.5,0.000156,R,2011,2011-12-21,,,detected by transit,,Kepler-20,19:10:48.0,+42:20:19,12.5,,,,,290.0,0.02,0.912,0.944,G8,8.8,5466.0
Kepler-20 c,0.051,0.27,10.854092,0.093,0.4,88.39,0.000321,R,2011,2011-12-21,,,detected by transit,,Kepler-20,19:10:48.0,+42:20:19,12.5,,,,,290.0,0.02,0.912,0.944,G8,8.8,5466.0
Kepler-20 d,0.06,0.25,77.61185,0.3453,0.6,89.57,0.001191,R,2011,2011-12-21,,,detected by transit,,Kepler-20,19:10:48.0,+42:20:19,12.5,,,,,290.0,0.02,0.912,0.944,G8,8.8,5466.0
Kepler-20 e,0.0097,0.078,6.098493,0.0507,,87.5,0.000175,R,2011,2011-12-23,,,detected by transit,,Kepler-20,19:10:48.0,+42:20:19,12.5,,,,,290.0,0.02,0.912,0.944,G8,8.8,5466.0
Kepler-20 f,0.045,0.09,19.57706,0.11,,88.68,0.000379,R,2011,2011-12-23,,,detected by transit,,Kepler-20,19:10:48.0,+42:20:19,12.5,,,,,290.0,0.02,0.912,0.944,G8,8.8,5466.0
Kepler-21 b,0.033,0.1459,2.785755,0.042507,0.0,82.58,0.000394,C,2011,2011-12-12,,,detected by transit,,Kepler-21,19:09:27.0,+38:42:50,8.27,,,,,108.0,-0.15,1.34,1.86,F6IV,2.84,6131.0
Kepler-22 b,0.11,0.21,289.8623,0.849,,89.764,0.004468,R,2011,2011-12-09,,,detected by transit,,Kepler-22,19:16:52.0,+47:53:04,12.0,,,,,190.0,-0.29,0.97,0.979,G5,,5518.0
Kepler-23 b,0.8,0.17,7.1073,0.075,,,,R,2012,2012-01-30,,,detected by transit,,Kepler-23,19:36:52.0,+49:28:45,14.0,,,,,,,1.11,1.52,,,5760.0
Kepler-23 c,2.7,0.29,10.7421,0.099,,,,R,2012,2012-01-30,,,detected by transit,,Kepler-23,19:36:52.0,+49:28:45,14.0,,,,,,,1.11,1.52,,,5760.0
Kepler-24 b,1.6,0.21,8.1453,0.08,,,,R,2012,2012-01-30,,,detected by transit,,Kepler-24,19:21:39.0,+38:20:38,15.5,,,,,,,1.03,1.07,,,5800.0
Kepler-24 c,1.6,0.25,12.3335,0.106,,,,R,2012,2012-01-30,,,detected by transit,,Kepler-24,19:21:39.0,+38:20:38,15.5,,,,,,,1.03,1.07,,,5800.0
Kepler-25 b,12.7,0.23,6.2385,0.068,,,,R,2012,2012-01-30,,,detected by transit,,Kepler-25,19:06:33.0,+39:29:16,11.0,,,,,,0.01,1.22,1.36,,,6190.0
Kepler-25 c,4.16,0.4,12.7204,0.11,,,,R,2012,2012-01-30,,,detected by transit,,Kepler-25,19:06:33.0,+39:29:16,11.0,,,,,,0.01,1.22,1.36,,,6190.0
Kepler-26 b,0.38,0.32,12.2829,0.085,,,,R,2012,2012-01-30,,,detected by transit,,Kepler-26,18:59:46.0,+46:34:00,16.0,,,,,,-0.21,0.65,0.59,,,4500.0
Kepler-26 c,0.375,0.32,17.2513,0.107,,,,R,2012,2012-01-30,,,detected by transit,,Kepler-26,18:59:46.0,+46:34:00,16.0,,,,,,-0.21,0.65,0.59,,,4500.0
Kepler-27 b,9.11,0.36,15.3348,0.118,,,,R,2012,2012-01-30,,,detected by transit,,Kepler-27,19:28:57.0,+41:05:09,,,,,,,0.41,0.65,0.59,,,5400.0
Kepler-27 c,13.8,0.44,31.3309,0.191,,,,R,,2012-01-30,,,detected by transit,,Kepler-27,19:28:57.0,+41:05:09,,,,,,,0.41,0.65,0.59,,,5400.0
Kepler-28 b,1.51,0.32,5.9123,0.062,,,,R,2012,2012-01-30,,,detected by transit,,Kepler-28,19:28:33.0,+42:25:46,15.5,,,,,,0.34,0.75,0.7,,,4590.0
Kepler-28 c,1.36,0.3,8.9858,0.081,,,,R,2012,2012-01-30,,,detected by transit,,Kepler-28,19:28:33.0,+42:25:46,15.5,,,,,,0.34,0.75,0.7,,,4590.0
Kepler-29 b,0.4,0.32,10.3376,0.09,,,,R,2012,2012-01-30,,,detected by transit,,Kepler-29,19:53:24.0,+47:29:28,15.5,,,,,,0.0,1.0,0.96,,,5750.0
Kepler-29 c,0.3,0.26,13.2907,0.11,,,,R,2012,2012-01-30,,,detected by transit,,Kepler-29,19:53:24.0,+47:29:28,15.5,,,,,,0.0,1.0,0.96,,,5750.0
Kepler-30 b,0.2,0.33,29.329,0.18,,,,R,2012,2012-01-30,,,detected by transit,,Kepler-30,19:01:08.0,+38:56:50,15.5,,,,,,0.18,0.99,0.95,,,5498.0
Kepler-30 c,9.1,1.29,60.3251,0.3,,,,R,2012,2012-01-30,,,detected by transit,,Kepler-30,19:01:08.0,+38:56:50,15.5,,,,,,0.18,0.99,0.95,,,5498.0
Kepler-30 d,17.0,0.96,143.213,0.5,,,,R,2012,2012-01-30,,,detected by transit,,Kepler-30,19:01:08.0,+38:56:50,15.5,,,,,,0.18,0.99,0.95,,,5498.0
Kepler-31 b,6.8,0.38,20.8613,0.16,,,,R,2012,2012-01-30,,,detected by transit,,Kepler-31,19:36:06.0,+45:51:11,15.5,,,,,,-0.08,1.21,1.22,,,6340.0
Kepler-31 c,4.7,0.38,42.6318,0.26,,,,R,2012,2012-01-30,,,detected by transit,,Kepler-31,19:36:06.0,+45:51:11,15.5,,,,,,-0.08,1.21,1.22,,,6340.0
Kepler-32 b,4.1,0.37,5.90124,0.05,,,,R,2012,2012-01-30,,,detected by transit,,Kepler-32,19:51:22.0,+46:34:27,16.0,,,,,,0.0,0.58,0.53,,,3900.0
Kepler-32 c,0.5,0.33,8.7522,0.09,,,,R,2012,2012-01-30,,,detected by transit,,Kepler-32,19:51:22.0,+46:34:27,16.0,,,,,,0.0,0.58,0.53,,,3900.0
Kepler-33 b,,0.16,5.66793,0.0677,,86.39,,R,2012,2012-01-30,,,detected by transit,,Kepler-33,19:16:19.0,+46:00:19,14.0,,,,,,,1.291,1.82,,4.27,5904.0
Kepler-33 c,,0.29,13.17562,0.1189,,88.19,,R,2012,2012-01-30,,,detected by transit,,Kepler-33,19:16:19.0,+46:00:19,14.0,,,,,,,1.291,1.82,,4.27,5904.0
Kepler-33 d,,0.48,21.77596,0.1662,,88.71,,R,2012,2012-01-30,,,detected by transit,,Kepler-33,19:16:19.0,+46:00:19,14.0,,,,,,,1.291,1.82,,4.27,5904.0
Kepler-33 e,,0.36,31.7844,0.2138,,88.94,,R,2012,2012-01-30,,,detected by transit,,Kepler-33,19:16:19.0,+46:00:19,14.0,,,,,,,1.291,1.82,,4.27,5904.0
Kepler-33 f,,0.4,41.02902,0.2535,,,,R,2012,2012-01-30,,,detected by transit,,Kepler-33,19:16:19.0,+46:00:19,14.0,,,,,,,1.291,1.82,,4.27,5904.0
Kepler-34(AB) b,0.22,0.764,288.822,1.0896,0.182,90.355,0.000727,R,2012,2012-04-24,,,detected by transit,,Kepler-34(AB),19:45:45.0,+44:38:30,15.0,,,,,1499.0,-0.07,2.0687,1.1,G,,5913.0
Kepler-35(AB) b,0.127,0.728,131.458,0.60347,0.042,90.76,0.000367,R,2012,2012-04-24,,,detected by transit,,Kepler-35(AB),19:37:59.0,+46:41:24,16.0,,,,,1645.0,-0.34,1.6971,1.0,G,,5606.0
Kepler-4 b,0.077,0.357,3.21346,0.0456,0.0,89.76,8.3e-05,R,2010,2010-01-06,,,detected by transit,,Kepler-4,19:02:28.0,+50:08:09,12.7,,,,,550.0,0.17,1.223,1.487,G0,4.5,5857.0
Kepler-42 b,0.009,0.07,1.2137672,0.0116,,,0.0003,R,2012,2012-05-21,,,detected by transit,,Kepler-42,19:28:53.0,+44:37:10,16.12,,,,,38.7,-0.48,0.13,0.17,,,3068.0
Kepler-42 c,0.006,0.065,0.45328509,0.006,,,0.000155,R,2012,2012-05-16,,,detected by transit,,Kepler-42,19:28:53.0,+44:37:10,16.12,,,,,38.7,-0.48,0.13,0.17,,,3068.0
Kepler-42 d,0.003,0.051,1.856169,0.0154,,,0.000398,R,2012,2012-05-16,,,detected by transit,,Kepler-42,19:28:53.0,+44:37:10,16.12,,,,,38.7,-0.48,0.13,0.17,,,3068.0
Kepler-5 b,2.114,1.431,3.54846,0.05064,0.0,86.3,,W,2010,2010-04-23,,,detected by transit,,Kepler-5,19:57:38.0,+44:02:06,,,,,,,0.04,1.374,1.793,,,6297.0
Kepler-6 b,0.669,1.323,3.234723,0.04567,0.0,86.8,,R,2010,2011-12-01,,,detected by transit,,Kepler-6,19:47:21.0,+48:14:24,,,,,,,0.34,1.209,1.391,,3.8,5647.0
Kepler-7 b,0.433,1.614,4.885525,0.06246,0.1,85.18,,R,2010,2011-05-27,357.1,,detected by transit,,Kepler-7,19:14:20.0,+41:05:23,,,,,,,0.11,1.36,2.02,,3.5,5933.0
Kepler-8 b,0.603,1.419,3.52254,0.0483,0.0,84.07,3.6e-05,C,2010,2012-07-05,,,detected by transit,,Kepler-8,18:45:09.0,+42:27:04,13.9,,,,,1330.0,-0.055,1.213,1.486,,3.84,6213.0
Kepler-9 b,0.252,0.842,19.243158,0.14,,88.55,,R,2010,2010-09-09,,,detected by transit,,Kepler-9,19:02:18.0,+38:24:03,13.9,,,,,,0.17,1.0,1.1,,3.0,5722.0
Kepler-9 c,0.171,0.823,38.90861,0.225,,88.12,,R,2010,2010-09-09,,,detected by transit,,Kepler-9,19:02:18.0,+38:24:03,13.9,,,,,,0.17,1.0,1.1,,3.0,5722.0
Kepler-9 d,0.022,0.147,1.592851,0.0273,,,,R,2010,2010-11-23,,,detected by transit,,Kepler-9,19:02:18.0,+38:24:03,13.9,,,,,,0.17,1.0,1.1,,3.0,5722.0
OGLE-TR-10 b,0.68,1.72,3.10129,0.04162,0.0,84.5,2.8e-05,R,2004,2010-06-24,,,detected by transit,,OGLE-TR-10,17:51:28.0,-29:52:34,,14.93,,,,1500.0,0.28,1.18,1.16,G or K,1.1,6075.0
OGLE-TR-111 b,0.54,1.077,4.01451,0.047,0.0,88.1,3.1e-05,R,2004,2010-12-14,,,detected by transit,,OGLE-TR-111,10:53:18.0,-61:24:20,,15.55,,,,1500.0,0.12,0.82,0.831,G or K,1.1,5070.0
OGLE-TR-113 b,1.24,1.11,1.4324772,0.0229,0.0,89.4,1.5e-05,R,2004,2010-06-24,,,detected by transit,,OGLE-TR-113,10:52:24.0,-61:26:48,,14.42,,,,1500.0,0.14,0.78,0.765,K,0.7,4752.0
OGLE-TR-132 b,1.17,1.23,1.689868,0.0306,0.0,83.4,2e-05,R,2004,2010-12-16,,,detected by transit,,OGLE-TR-132,10:50:34.0,-61:57:25,,15.72,,,,1500.0,0.37,1.26,1.34,F,,6210.0
OGLE-TR-182 b,1.06,1.47,3.9791,0.051,0.0,85.7,,S,2007,2010-06-24,,,detected by transit,,OGLE-TR-182,11:09:19.0,-61:05:43,16.84,15.86,15.45,14.9,14.74,,0.37,1.14,1.14,,,5924.0
